target	taxa
VOG12	Caudovirales
VOG17	Polydnaviridae
VOG21	Marseillevirus
VOG28	Marseillevirus
VOG39	Riboviria
VOG40	Caudovirales
VOG45	Myoviridae
VOG47	Myoviridae
VOG52	Myoviridae
VOG53	Marseillevirus
VOG61	Caudovirales
VOG65	Caudovirales
VOG67	Caudovirales
VOG77	Chlorovirus
VOG80	Caudovirales
VOG87	Marseillevirus
VOG91	Caudovirales
VOG92	Caudovirales
VOG95	Siphoviridae
VOG97	Caudovirales
VOG98	Caudovirales
VOG99	Myoviridae
VOG105	Caudovirales
VOG108	Caudovirales
VOG110	Bracovirus
VOG112	Caudovirales
VOG113	Chlorovirus
VOG115	Caudovirales
VOG117	Myoviridae
VOG119	Caudovirales
VOG121	Caudovirales
VOG132	Siphoviridae
VOG133	Caudovirales
VOG136	Caudovirales
VOG137	Myoviridae
VOG139	Caudovirales
VOG146	Marseillevirus
VOG148	Marseillevirus
VOG151	Caudovirales
VOG152	Caudovirales
VOG154	Caudovirales
VOG156	Caudovirales
VOG159	Caudovirales
VOG160	Caudovirales
VOG163	Caudovirales
VOG165	Caudovirales
VOG166	Caudovirales
VOG167	Caudovirales
VOG169	Caudovirales
VOG170	Myoviridae
VOG171	Caudovirales
VOG176	Marseillevirus
VOG177	Caudovirales
VOG179	Caudovirales
VOG181	Caudovirales
VOG185	Caudovirales
VOG187	Caudovirales
VOG188	Caudovirales
VOG189	Siphoviridae
VOG191	Caudovirales
VOG192	Caudovirales
VOG193	Phycodnaviridae
VOG195	Caudovirales
VOG196	Riboviria
VOG199	Caudovirales
VOG200	Caudovirales
VOG201	Caudovirales
VOG202	Caudovirales
VOG203	Siphoviridae
VOG204	Caudovirales
VOG208	Caudovirales
VOG210	Caudovirales
VOG211	Caudovirales
VOG212	Ranavirus
VOG221	Myoviridae
VOG222	Autographivirinae
VOG224	Caudovirales
VOG227	Caudovirales
VOG230	Caudovirales
VOG232	Caudovirales
VOG234	Caudovirales
VOG235	Myoviridae
VOG236	Caudovirales
VOG242	Siphoviridae
VOG243	Caudovirales
VOG244	Caudovirales
VOG247	Myoviridae
VOG248	Myoviridae
VOG250	Caudovirales
VOG251	Caudovirales
VOG253	Caudovirales
VOG254	Luteoviridae
VOG255	Caudovirales
VOG256	Caudovirales
VOG259	Caudovirales
VOG260	Picornavirales
VOG263	Proboscivirus
VOG264	Chlorovirus
VOG266	Caudovirales
VOG267	Caudovirales
VOG270	Myoviridae
VOG271	Caudovirales
VOG274	Myoviridae
VOG280	Marseillevirus
VOG285	Caudovirales
VOG287	Caudovirales
VOG289	Phycodnaviridae
VOG294	Siphoviridae
VOG295	Caudovirales
VOG299	Siphoviridae
VOG304	Caudovirales
VOG305	Siphoviridae
VOG306	Bracovirus
VOG311	Caudovirales
VOG312	Caudovirales
VOG315	Caudovirales
VOG316	Caudovirales
VOG319	Caudovirales
VOG320	Caudovirales
VOG322	Caudovirales
VOG325	Caudovirales
VOG326	Siphoviridae
VOG328	Caudovirales
VOG330	Caudovirales
VOG331	Caudovirales
VOG332	Caudovirales
VOG333	Caudovirales
VOG334	Myoviridae
VOG335	Myoviridae
VOG336	Caudovirales
VOG337	Caudovirales
VOG342	Caudovirales
VOG346	Adenoviridae
VOG347	Myoviridae
VOG348	Caudovirales
VOG349	Caudovirales
VOG351	Aviadenovirus
VOG352	Mimivirus
VOG355	Mimivirus
VOG359	Caudovirales
VOG361	Adenoviridae
VOG362	Mimivirus
VOG363	Caudovirales
VOG364	Marseillevirus
VOG370	Bunyavirales
VOG372	Caudovirales
VOG373	Caudovirales
VOG375	Caudovirales
VOG376	Avihepatovirus
VOG378	Caudovirales
VOG379	Caudovirales
VOG380	Caudovirales
VOG381	Caudovirales
VOG382	Caudovirales
VOG383	Caudovirales
VOG384	Caudovirales
VOG386	Caudovirales
VOG387	Caudovirales
VOG388	Caudovirales
VOG389	Riboviria
VOG392	Caudovirales
VOG393	Siphoviridae
VOG394	Caudovirales
VOG397	Caudovirales
VOG399	Caudovirales
VOG404	Myoviridae
VOG407	Caudovirales
VOG410	Siphoviridae
VOG411	Caudovirales
VOG412	Caudovirales
VOG417	Caudovirales
VOG420	Caudovirales
VOG421	Caudovirales
VOG425	Caudovirales
VOG427	Myoviridae
VOG429	Myoviridae
VOG430	Caudovirales
VOG431	Caudovirales
VOG432	Caudovirales
VOG433	Siphoviridae
VOG434	Caudovirales
VOG435	Caudovirales
VOG436	Caudovirales
VOG437	Caudovirales
VOG438	Caudovirales
VOG439	Caudovirales
VOG440	Caudovirales
VOG441	Caudovirales
VOG442	Siphoviridae
VOG449	Caudovirales
VOG451	Mimivirus
VOG452	Betaherpesvirinae
VOG453	Siphoviridae
VOG454	Caudovirales
VOG456	Proboscivirus
VOG458	Marseillevirus
VOG461	Marseillevirus
VOG462	Marseillevirus
VOG465	Orthoretrovirinae
VOG471	Mimivirus
VOG472	Marseillevirus
VOG475	Caudovirales
VOG477	Caudovirales
VOG478	Bicaudavirus
VOG479	Caudovirales
VOG481	Siphoviridae
VOG483	Caudovirales
VOG491	Caudovirales
VOG494	Caudovirales
VOG495	Polerovirus
VOG496	Caudovirales
VOG497	Caudovirales
VOG498	Caudovirales
VOG499	Caudovirales
VOG503	Caudovirales
VOG507	Caudovirales
VOG508	Caudovirales
VOG510	Riboviria
VOG511	Siphoviridae
VOG513	Phaeovirus
VOG514	Caudovirales
VOG517	Caudovirales
VOG519	Caudovirales
VOG521	Caudovirales
VOG523	Siphoviridae
VOG527	Virgaviridae
VOG528	Siphoviridae
VOG532	Caudovirales
VOG533	Caudovirales
VOG535	Myoviridae
VOG536	Siphoviridae
VOG540	Caudovirales
VOG541	Caudovirales
VOG542	Caudovirales
VOG543	Siphoviridae
VOG544	Caudovirales
VOG545	Siphoviridae
VOG546	Caudovirales
VOG549	Myoviridae
VOG550	Myoviridae
VOG552	Caudovirales
VOG553	Caudovirales
VOG554	Myoviridae
VOG555	Myoviridae
VOG558	Caudovirales
VOG559	Myoviridae
VOG560	Siphoviridae
VOG561	Myoviridae
VOG562	Caudovirales
VOG563	Caudovirales
VOG564	Myoviridae
VOG566	Caudovirales
VOG568	Caudovirales
VOG570	Caudovirales
VOG571	Caudovirales
VOG572	Caudovirales
VOG573	Caudovirales
VOG574	Myoviridae
VOG575	Caudovirales
VOG578	Caudovirales
VOG579	Caudovirales
VOG580	Caudovirales
